parking_id,name,day_group,entry_windows,exit_windows,fee_windows,fee_mode,overnight_allowed,access_status,general_public,effective_from,effective_to,checked_at,evidence_method,evidence_ref,note
12,관악역1환승,weekday,00:00-24:00,00:00-24:00,00:00-24:00,paid_window_free_outside,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"24시간 운영·24시간 유료 (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
12,관악역1환승,saturday,00:00-24:00,00:00-24:00,00:00-24:00,paid_window_free_outside,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"24시간 운영·24시간 유료 (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
12,관악역1환승,sunday_holiday,00:00-24:00,00:00-24:00,00:00-24:00,paid_window_free_outside,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"24시간 운영·24시간 유료 (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
13,관악역2환승,weekday,00:00-24:00,00:00-24:00,09:00-17:00,paid_window_free_outside,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
13,관악역2환승,saturday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
13,관악역2환승,sunday_holiday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
24,관악역3환승,weekday,00:00-24:00,00:00-24:00,09:00-17:00,paid_window_free_outside,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
24,관악역3환승,saturday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
24,관악역3환승,sunday_holiday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
25,관악역4환승,weekday,00:00-24:00,00:00-24:00,09:00-17:00,paid_window_free_outside,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
25,관악역4환승,saturday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
25,관악역4환승,sunday_holiday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
39,안양7동노외,weekday,00:00-24:00,00:00-24:00,09:00-17:00,paid_window_free_outside,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
39,안양7동노외,saturday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
39,안양7동노외,sunday_holiday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
27,인덕원동노외,weekday,00:00-24:00,00:00-24:00,09:00-20:00,paid_window_free_outside,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
27,인덕원동노외,saturday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
27,인덕원동노외,sunday_holiday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
82,명학동노외,weekday,00:00-24:00,00:00-24:00,09:00-18:00,paid_window_free_outside,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
82,명학동노외,saturday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
82,명학동노외,sunday_holiday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
40,안양6동1노외,weekday,00:00-24:00,00:00-24:00,09:00-18:00,paid_window_free_outside,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
40,안양6동1노외,saturday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
40,안양6동1노외,sunday_holiday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
42,느루소공원지하,weekday,00:00-24:00,00:00-24:00,09:00-18:00,paid_window_free_outside,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
42,느루소공원지하,saturday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
42,느루소공원지하,sunday_holiday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
34,동편마을지하,weekday,00:00-24:00,00:00-24:00,09:00-18:00,paid_window_free_outside,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
34,동편마을지하,saturday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
34,동편마을지하,sunday_holiday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
121,호현마을1노외,weekday,00:00-24:00,00:00-24:00,09:00-18:00,paid_window_free_outside,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
121,호현마을1노외,saturday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
121,호현마을1노외,sunday_holiday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
36,충훈동지하,weekday,00:00-24:00,00:00-24:00,09:00-18:00,paid_window_free_outside,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
36,충훈동지하,saturday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
36,충훈동지하,sunday_holiday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
37,관양동노외,weekday,00:00-24:00,00:00-24:00,09:00-18:00,paid_window_free_outside,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
37,관양동노외,saturday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
37,관양동노외,sunday_holiday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
106,시청앞노상,weekday,00:00-24:00,00:00-24:00,10:00-18:00,paid_window_free_outside,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
106,시청앞노상,saturday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
106,시청앞노상,sunday_holiday,00:00-24:00,00:00-24:00,,free,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"평일만 유료, 주말 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
30,샘모루초교지하,weekday,00:00-24:00,00:00-24:00,09:00-20:00,paid_window_free_outside,true,confirmed_open,true,2026-09-15,,2026-09-15,official_web,docs/reports/태영.txt,"월~토 유료, 일요일 무료개방(입출차 24시간 가능) (네이버지도 기준, 일부는 공식 운영시간 미표기) [evidence_method는 임시 official_web — enum에 web_map 추가되면 교체 예정]"
